Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2023/2024;35140;55700;Betim
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2022/2023;68000;56510;Salvador
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2023/2024;61708;57130;Osasco
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2023/2024;67747;57130;Ribeirão Preto
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2023/2024;61708;57130;São Paulo
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2023/2024;55015;57340;Santa Maria
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2023/2024;55015;57340;Canoas
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2022/2023;48921;58240;Cuiabá
Renault;Sandero;1.0 12V SCE FLEX S EDITION MANUAL;2022/2023;56955;58480;Americana
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2023/2024;52143;59300;Belo Horizonte
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2023/2024;52571;59300;Campo Grande
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2023/2024;51725;59300;Cascavel
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2023/2024;44465;59480;Joinville
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2023/2024;47387;59480;Porto Alegre
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2023/2024;47053;59480;Belo Horizonte
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2023/2024;N/A;59480;Joinville
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2022/2023;53824;60050;Salvador
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2022/2023;58346;60050;Cuiabá
Chevrolet;Joy;1.0 8V FLEX PLUS BLACK EDITION;2021/2021;41905;60300;São Paulo
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2022/2023;40572;60470;Mogi das Cruzes
Renault;Sandero;1.0 12V SCE FLEX S EDITION MANUAL;2022/2023;55131;60480;Sorocaba
Renault;Sandero;1.0 12V SCE FLEX S EDITION MANUAL;2022/2023;55131;60480;São Paulo
Renault;Sandero;1.0 12V SCE FLEX S EDITION MANUAL;2022/2023;57711;60480;Ribeirão Preto
Citroen;C3;1.0 16V FLEX LIVE PACK MANUAL;2023/2024;40367;60900;Canoas
Renault;Sandero;1.0 12V SCE FLEX S EDITION MANUAL;2022/2023;49771;60910;Mogi das Cruzes
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;2022/2023;70112;61130;Goiânia
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;2023/2023;70997;61130;Rio de Janeiro
Hyundai;Hb20;1.0 12V FLEX VISION MANUAL;2021/2022;72627;61220;Betim
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2022/2023;24256;61570;Recife
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;2023/2023;58012;62700;Bauru
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;2023/2023;58012;62700;Bauru
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2022/2023;26393;62800;Americana
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;2023/2023;65425;63210;Campo Grande
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;2023/2023;67040;63210;Cuiabá
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;2023/2023;67040;63210;Ribeirão Preto
Fiat;Mobi;1.0 EVO FLEX TREKKING MANUAL;2024/2024;51400;63430;Belo Horizonte
Fiat;Mobi;1.0 EVO FLEX TREKKING MANUAL;2024/2024;51219;63490;São Paulo
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;2023/2023;60143;63580;Contagem
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;2023/2023;60724;63580;Curitiba
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;2023/2023;61470;63580;Curitiba
Fiat;Mobi;1.0 EVO FLEX TREKKING MANUAL;2024/2024;40430;63630;Santos
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;2023/2023;58676;63820;Serra
Peugeot;208;1.0 FIREFLY FLEX LIKE MANUAL;2023/2023;50837;63820;Salvador
